CustomerID,RetentionPotential
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
C37869,1
